date,position,plots_Pawaga,plots_BTx623,kt_day,precip_mm,peak_Pawaga,peak_BTx623,valid_h_start,valid_h_end,shape_absdiff_med,tau_Pawaga,tau_BTx623,tau_diff
2021-07-26,Y,7415/7416,7411/7412,0.939,0.0,2682.6,2460.5,8.25,14.25,0.0142,0.265,0.247,0.019
2021-08-22,Y,7415/7416,7411/7412,0.978,0.0,2588.4,2484.4,8.5,14.75,0.0096,0.283,0.248,0.035
2021-09-21,Y,7415/7416,7411/7412,0.985,0.0,2345.4,2200.3,9.0,15.5,0.0179,0.208,0.179,0.03
